product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
Průhledný kryt CLEAR - iPhone 12/12 PRO,CLEAR,27,31,70,40
Průhledný kryt CLEAR - iPhone 7/8/SE,CLEAR,31,21.4,51,40
Průhledný kryt CLEAR - iPhone 11,CLEAR,15,21.8,40,40
Kryt PROTECT - iPhone 12/12 PRO - kožený,PROTECT,15,18.5,22,20
Gravírování,PPLR_HIDDEN_PRODUCT,27,57.6,53,0
Průhledný kryt CLEAR - iPhone 12 mini,CLEAR,2,21.4,30,40
Průhledný kryt CLEAR - iPhone X/XS,CLEAR,13,16.7,30,40
Kryt AIR pro iPhone SE/7/8 - kožený,AIR,24,16.8,25,20
iPhone 12/12 PRO - tvrzené ochranné sklo,LEMORY 3D,29,26.2,43,20
iPhone 7/8/SE - 3D tvrzené ochranné sklo,LEMORY 3D,21,26.6,37,20
Průhledný kryt CLEAR - iPhone 12 PRO MAX,CLEAR,21,10.7,22,40
Průhledný kryt CLEAR - iPhone XR,CLEAR,27,8,18,40
iPhone 11 - 3D tvrzené ochranné sklo,LEMORY 3D,2,29.9,22,20
Kryt PROTECT - iPhone 11 - kožený,PROTECT,10,8.7,9,20
Průhledný kryt CLEAR - iPhone 11 PRO,CLEAR,-6,11.3,13,40
Kryt PROTECT pro iPhone 7/8/SE - kožený,PROTECT,3,11.5,9,20
Kryt AIR pro iPhone XS - kožený,AIR,18,7.9,10,20
Kryt PROTECT - iPhone 12 mini - kožený,PROTECT,1,11.3,8,20
Kryt AIR pro iPhone XR - kožený,AIR,60,3.7,10,20
Kožená peněženka SLIM s kapsou na mince,SLIM,5,3.5,3,20
Kryt PROTECT - iPhone 12 PRO MAX - kožený,PROTECT,13,5.5,6,20
Kryt AIR pro iPhone X - kožený,AIR,17,6.3,8,20
iPhone 12 mini - tvrzené ochranné sklo,LEMORY 3D,9,13.4,13,20
iPhone 11 PRO - 3D tvrzené ochranné sklo,LEMORY 3D,20,7.4,10,20
iPhone 12 PRO MAX - tvrzené ochranné sklo,LEMORY 3D,34,6.6,12,20
iPhone XR - 3D tvrzené ochranné sklo,LEMORY 3D,56,4.3,11,20
Kryt PROTECT pro iPhone X/XS - kožený,PROTECT,7,5.4,5,20
iPhone X - 3D tvrzené ochranné sklo,LEMORY 3D,26,5.8,9,20
Kryt PROTECT pro  iPhone 11 PRO - kožený,PROTECT,-1,6.3,4,20
Kožená MINI peněženka,MINI,31,2.3,4,20
Průhledný kryt CLEAR - iPhone 11 PRO MAX,CLEAR,-4,3.3,4,40
Kryt AIR pro iPhone XS MAX - kožený,AIR,17,1.6,2,20
Průhledný kryt CLEAR - iPhone XS MAX,CLEAR,-13,2.2,2,40
iPhone XS - 3D tvrzené ochranné sklo,LEMORY 3D,-13,3.8,1,20
iPhone XS MAX - 3D tvrzené ochranné sklo,LEMORY 3D,3,1.3,1,20
iPhone 11 PRO MAX - 3D tvrzené ochranné sklo,LEMORY 3D,2,1.3,1,20
Doprava GLS,,4,3.3,1,5
Doprava - GLS,,4,3.3,1,5
Kryt PROTECT - iPhone 11 - kožený,LEMORY AIR PRO,-24,8.7,-1,20
