product_code,product_title,until_stockout,monthly_sales,inventory,lead_time,month_to_date_qty,last_month_qty
product_title,product_type,NaN,0,0,0,0,0
Gravírování,PPLR_HIDDEN_PRODUCT,1.0576141E+09,28.4,999999049,0,7,55
Kožená MINI peněženka,MINI,-3,4.4,4,30,1,4
Kožená peněženka SLIM s kapsou na mince,SLIM,27,3.7,7,30,0,7
Kryt AIR pro iPhone SE/7/8 - kožený,AIR,40,5.5,10,14,1,21
Kryt AIR pro iPhone X - kožený,AIR,61,8.8,22,14,3,8
Kryt AIR pro iPhone XR - kožený,AIR,49,5.2,11,14,2,11
Kryt AIR pro iPhone XS - kožený,AIR,68,5.1,14,14,1,13
Kryt AIR pro iPhone XS MAX - kožený,AIR,2007617,0,28,14,0,1
Kryt PROTECT - Samsung S10 - kožený,PROTECT,3577,0.1,12,14,0,1
Kryt PROTECT - iPhone 11 - kožený,PROTECT,60,10,25,14,3,12
Kryt PROTECT - iPhone 12 PRO MAX - kožený,PROTECT,3571,0.1,15,14,0,5
Kryt PROTECT - iPhone 12 mini - kožený,PROTECT,74,5.1,15,14,2,6
Kryt PROTECT - iPhone 12/12 PRO - kožený,PROTECT,26,3,4,14,0,27
Kryt PROTECT pro  iPhone 11 PRO - kožený,PROTECT,79,10,31,14,2,5
Kryt PROTECT pro iPhone 11 PRO MAX - kožený,PROTECT,547,1.3,25,14,0,1
Kryt PROTECT pro iPhone 7/8/SE - kožený,PROTECT,127,3.6,17,14,0,13
Kryt PROTECT pro iPhone X/XS - kožený,PROTECT,244,1.9,16,14,0,6
Kryt PROTECT pro iPhone XR - kožený,PROTECT,128076510,0,16,14,0,0
Kryt PROTECT pro iPhone XS MAX - kožený,PROTECT,1690,0.3,18,14,0,1
Průhledný kryt CLEAR - iPhone 11,CLEAR,-15,45.7,24,30,10,55
Průhledný kryt CLEAR - iPhone 11 PRO,CLEAR,-1,24.5,24,30,5,15
Průhledný kryt CLEAR - iPhone 11 PRO MAX,CLEAR,26,7.4,14,30,1,10
Průhledný kryt CLEAR - iPhone 12 PRO MAX,CLEAR,39,25,58,30,6,21
Průhledný kryt CLEAR - iPhone 12 mini,CLEAR,573,6.3,126,30,1,33
Průhledný kryt CLEAR - iPhone 12/12 PRO,CLEAR,-12,29.9,18,30,5,77
Průhledný kryt CLEAR - iPhone 7/8/SE,CLEAR,35,29,63,30,7,68
Průhledný kryt CLEAR - iPhone X/XS,CLEAR,6,13.1,16,30,3,34
Průhledný kryt CLEAR - iPhone XR,CLEAR,56,15.6,45,30,4,19
Průhledný kryt CLEAR - iPhone XS MAX,CLEAR,382,1.9,26,30,0,4
iPhone 11 - 3D tvrzené ochranné sklo,LEMORY 3D,-25,42.6,8,30,9,30
iPhone 11 PRO - 3D tvrzené ochranné sklo,LEMORY 3D,10,23.9,32,30,5,13
iPhone 11 PRO MAX - 3D tvrzené ochranné sklo,LEMORY 3D,418,4.3,65,30,1,3
iPhone 12 PRO MAX - tvrzené ochranné sklo,LEMORY 3D,28,19.4,38,30,5,11
iPhone 12 mini - tvrzené ochranné sklo,LEMORY 3D,342,8.8,109,30,3,15
iPhone 12/12 PRO - tvrzené ochranné sklo,LEMORY 3D,106,16,73,30,2,54
iPhone 7/8/SE - 3D tvrzené ochranné sklo,LEMORY 3D,236,14,124,30,2,42
iPhone X - 3D tvrzené ochranné sklo,LEMORY 3D,91,8.4,34,30,3,10
iPhone XR - 3D tvrzené ochranné sklo,LEMORY 3D,56,6.6,19,30,1,15
iPhone XS - 3D tvrzené ochranné sklo,LEMORY 3D,24446,0.1,46,30,0,1
iPhone XS MAX - 3D tvrzené ochranné sklo,LEMORY 3D,25654802,0,86,30,0,0
