product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
Průhledný kryt CLEAR - iPhone 12/12 PRO,CLEAR,52,36.6,70,5
Průhledný kryt CLEAR - iPhone 7/8/SE,CLEAR,30,43.7,51,5
Průhledný kryt CLEAR - iPhone 11,CLEAR,21,45.5,40,5
Kryt PROTECT - iPhone 12/12 PRO - kožený,PROTECT,10,41.7,22,5
Gravírování,PPLR_HIDDEN_PRODUCT,23,54.8,53,5
Průhledný kryt CLEAR - iPhone 12 mini,CLEAR,15,42.9,30,5
Průhledný kryt CLEAR - iPhone X/XS,CLEAR,15,43,30,5
Kryt AIR pro iPhone SE/7/8 - kožený,AIR,11,44.6,25,5
iPhone 12/12 PRO - tvrzené ochranné sklo,LEMORY 3D,20,50.4,43,5
iPhone 7/8/SE - 3D tvrzené ochranné sklo,LEMORY 3D,21,41.8,37,5
Průhledný kryt CLEAR - iPhone 12 PRO MAX,CLEAR,11,40.2,22,5
Průhledný kryt CLEAR - iPhone XR,CLEAR,7,42.3,18,5
iPhone 11 - 3D tvrzené ochranné sklo,LEMORY 3D,11,40.1,22,5
Kryt PROTECT - iPhone 11 - kožený,PROTECT,4,29.8,9,5
Průhledný kryt CLEAR - iPhone 11 PRO,CLEAR,6,33.7,13,5
Kryt PROTECT pro iPhone 7/8/SE - kožený,PROTECT,3,32.1,9,5
Kryt AIR pro iPhone XS - kožený,AIR,4,33,10,5
Kryt PROTECT - iPhone 12 mini - kožený,PROTECT,2,34.2,8,5
Kryt AIR pro iPhone XR - kožený,AIR,5,28,10,5
Kožená peněženka SLIM s kapsou na mince,SLIM,-1,23,3,5
Kryt PROTECT - iPhone 12 PRO MAX - kožený,PROTECT,2,25.6,6,5
Kryt AIR pro iPhone X - kožený,AIR,3,29.3,8,5
iPhone 12 mini - tvrzené ochranné sklo,LEMORY 3D,5,36.5,13,5
iPhone 11 PRO - 3D tvrzené ochranné sklo,LEMORY 3D,4,33,10,5
iPhone 12 PRO MAX - tvrzené ochranné sklo,LEMORY 3D,3,43.3,12,5
iPhone XR - 3D tvrzené ochranné sklo,LEMORY 3D,7,27.6,11,5
Kryt PROTECT pro iPhone X/XS - kožený,PROTECT,1,25.4,5,5
iPhone X - 3D tvrzené ochranné sklo,LEMORY 3D,3,33.6,9,5
Kryt PROTECT pro  iPhone 11 PRO - kožený,PROTECT,0,24.6,4,5
Kožená MINI peněženka,MINI,-1,25.3,4,5
Průhledný kryt CLEAR - iPhone 11 PRO MAX,CLEAR,0,23.4,4,5
Kryt AIR pro iPhone XS MAX - kožený,AIR,-2,20.8,2,5
Průhledný kryt CLEAR - iPhone XS MAX,CLEAR,-3,22.5,2,5
iPhone XS - 3D tvrzené ochranné sklo,LEMORY 3D,-4,15.6,1,5
iPhone XS MAX - 3D tvrzené ochranné sklo,LEMORY 3D,-4,15,1,5
iPhone 11 PRO MAX - 3D tvrzené ochranné sklo,LEMORY 3D,-3,18.3,1,5
Doprava GLS,,-1,8,1,5
Doprava - GLS,,-1,8,1,5
Kryt PROTECT - iPhone 11 - kožený,LEMORY AIR PRO,-5,0,-1,5
