product_code,product_title,until_stockout,monthly_sales,inventory,lead_time,month_to_date_qty,last_month_qty
mini_hneda,MINI,-27,30.8,4,30,0,3
mini_cerna,MINI,-30,30,0,30,0,1
Slim_hneda,SLIM,-25,21.1,4,30,0,4
Slim_cerna,SLIM,-24,33.2,7,30,0,0
PROTECT_XS_MAX_ruzova,PROTECT,-13,30,1,14,0,0
PROTECT_XS_MAX_hneda,PROTECT,-10,30,4,14,0,1
PROTECT_XS_MAX_cervena,PROTECT,-8,30,6,14,0,0
PROTECT_XS_MAX_cerna,PROTECT,-6,30,8,14,0,0
PROTECT_XR_hneda,PROTECT,-8,30,6,14,0,0
PROTECT_XR_fialová,PROTECT,-12,30,2,14,0,0
PROTECT_XR_cervena,PROTECT,-12,31,3,14,0,0
PROTECT_XR_cerna,PROTECT,-9,30,5,14,0,0
PROTECT_X/XS_ruzova,PROTECT,-13,30,1,14,0,0
PROTECT_X/XS_hneda,PROTECT,-8,26.1,6,14,0,0
PROTECT_X/XS_fialova,PROTECT,-11,30,3,14,0,0
PROTECT_X/XS_cervena,PROTECT,-8,30,6,14,0,2
PROTECT_X/XS_cerna,PROTECT,-13,30.2,2,14,0,2
PROTECT_S10_hneda,PROTECT,-11,30.4,4,14,0,1
PROTECT_S10_cervena,PROTECT,-8,30,6,14,0,0
PROTECT_S10_cerna,PROTECT,-12,30,2,14,0,0
PROTECT_7/8/SE_šedá,PROTECT,-14,32,1,14,0,0
PROTECT_7/8/SE_fialová,PROTECT,-10,30,4,14,0,0
PROTECT_7/8/SE2_ruzova,PROTECT,-12,22.1,2,14,0,3
PROTECT_7/8/SE2_hneda,PROTECT,-8,30,6,14,0,0
PROTECT_7/8/SE2_cervena,PROTECT,-10,30.6,5,14,0,0
PROTECT_7/8/SE2_cerna,PROTECT,-9,35.1,6,14,0,5
PROTECT_12_mini_tmave_modra,PROTECT,-12,35.5,3,14,0,2
PROTECT_12_mini_hneda,PROTECT,-10,32.5,5,14,0,1
PROTECT_12_mini_cervena,PROTECT,-9,30,5,14,0,0
PROTECT_12_mini_cerna,PROTECT,-9,30.5,6,14,0,3
PROTECT_12_PRO_MAX_tmave_modra,PROTECT,-10,30,4,14,0,1
PROTECT_12_PRO_MAX_hneda,PROTECT,-14,32.5,1,14,0,2
PROTECT_12_PRO_MAX_cervena,PROTECT,-7,30,7,14,0,0
PROTECT_12_PRO_MAX_cerna,PROTECT,-10,29.4,4,14,0,2
PROTECT_12/12_PRO_tmave_modra,PROTECT,-13,29.8,1,14,0,9
PROTECT_12/12_PRO_hneda,PROTECT,-8,34.8,7,14,0,4
PROTECT_12/12_PRO_cervena,PROTECT,-14,31.2,1,14,0,6
PROTECT_12/12_PRO__cerna,PROTECT,-13,32.1,2,14,0,5
PROTECT_11_šedá,PROTECT,-3,24,9,14,0,1
PROTECT_11_ruzova,PROTECT,-9,30,5,14,0,0
PROTECT_11_hneda,PROTECT,-9,33.9,6,14,0,3
PROTECT_11_fialova,PROTECT,-9,30,5,14,0,0
PROTECT_11_cervena,PROTECT,-10,31.3,5,14,0,1
PROTECT_11_cerna,PROTECT,-8,28.6,6,14,0,3
PROTECT_11_PRO_ruzova,PROTECT,-12,30,2,14,0,1
PROTECT_11_PRO_hneda,PROTECT,-8,33.8,7,14,0,1
PROTECT_11_PRO_cervena,PROTECT,-3,37.2,14,14,0,0
PROTECT_11_PRO_cerna,PROTECT,-8,32.7,7,14,0,1
PROTECT_11_PRO_MAX_ruzova,PROTECT,-12,30,2,14,0,0
PROTECT_11_PRO_MAX_hneda,PROTECT,-6,30,8,14,0,0
PROTECT_11_PRO_MAX_cervena,PROTECT,-8,30,6,14,0,0
PROTECT_11_PRO_MAX_cerna,PROTECT,-5,25.2,8,14,0,0
PROTECT_11 PRO_šedá,PROTECT,-13,30,1,14,0,0
PROTECT_11 PRO_zelená,PROTECT,-13,30,1,14,0,1
PROTECT_11 PRO_fialová,PROTECT,-13,30,1,14,0,0
PROTECT_11 PRO MAX_šedá,PROTECT,-12,30,2,14,0,0
Gravirovani,PPLR_HIDDEN_PRODUCT,650647400,46.1,999999066,0,0,48
CLEAR - iPhone XS MAX,CLEAR,-3,30.6,28,30,0,2
CLEAR - iPhone XR,CLEAR,8,39.2,51,30,0,17
CLEAR - iPhone X/XS,CLEAR,-10,35.7,25,30,0,30
CLEAR - iPhone 7/8/SE,CLEAR,5,55.4,65,30,0,63
CLEAR - iPhone 12PRO MAX,CLEAR,22,37,65,30,0,18
CLEAR - iPhone 12/12PRO,CLEAR,-20,45.5,16,30,0,62
CLEAR - iPhone 12 mini,CLEAR,69,40.2,133,30,0,30
CLEAR - iPhone 11 PRO MAX,CLEAR,-9,34.6,25,30,0,6
